Date,Open,High,Low,Close,Volume
2017-01-24,65.681,65.8792,63.9312,64.5173,6594300
2017-01-25,64.7501,65.1638,64.0174,64.5173,4830800
2017-01-26,64.6294,64.9483,64.2502,64.2846,3748000
2017-01-27,64.5777,64.9914,64.2243,64.9742,3132800
2017-01-30,64.7242,64.8018,64.0002,64.388,5909600
2017-01-31,64.0002,66.6119,63.7847,66.3964,6964100
2017-02-01,67.1377,67.7238,66.293,66.8877,4959200
2017-02-02,66.362,67.155,65.9827,66.7067,3830900
2017-02-03,66.7757,67.1291,66.1206,66.5688,3836300
2017-02-06,66.3016,67.1032,66.1637,67.086,2835500
2017-02-07,66.9567,67.2411,66.6464,66.9739,3346800
2017-02-08,66.7498,67.7928,66.5343,67.3273,2820800
2017-02-09,67.3273,67.7411,66.9653,66.9739,2962600
2017-02-10,67.1205,67.448,66.8877,67.0515,2598600
2017-02-13,67.3118,67.737,67.2771,67.4854,2097500
2017-02-14,67.2511,68.4052,67.0341,68.3878,3311200
2017-02-15,67.98,69.889,67.7283,69.6374,4272800
2017-02-16,69.4639,69.7502,68.9085,69.4552,3629600
2017-02-17,69.542,70.2882,69.4812,69.7589,3111100
2017-02-21,69.568,70.1754,69.5159,69.7329,3178800
2017-02-22,69.7849,70.4704,69.7068,70.349,3468800
2017-02-23,70.618,71.9196,70.4097,71.6333,6193500
2017-02-24,71.5204,72.232,71.3642,71.9109,4016000
2017-02-27,71.8762,72.3708,71.7287,72.0758,3104200
2017-02-28,71.8675,72.4402,71.6593,71.8588,3672000
2017-03-01,72.4056,73.013,71.9977,72.7613,3420600
2017-03-02,72.7787,72.8481,71.8849,71.9456,3371600
2017-03-03,71.7634,72.8047,71.6766,72.7006,2649100
2017-03-06,72.2407,73.1345,71.9803,72.744,3960100
2017-03-07,71.9804,72.1452,70.6093,71.7981,5570600
2017-03-08,71.7981,72.8828,71.7374,72.3795,4491800
2017-03-09,72.6051,73.5597,72.4663,73.3688,5861600
2017-03-10,73.3254,73.3687,72.8047,73.2039,3629400
2017-03-13,73.3341,73.3688,72.744,73.013,2248500
2017-03-14,72.8915,73.3688,72.8221,73.2907,2839100
2017-03-15,73.2647,74.7485,73.2126,74.5229,4883900
2017-03-16,74.2278,74.2278,72.7179,73.7506,4742800
2017-03-17,73.2733,73.5423,72.744,72.8568,5786900
2017-03-20,73.4121,73.6377,72.8654,72.9435,3121900
2017-03-21,73.1865,73.7159,72.5704,72.6572,4066200
2017-03-22,72.9696,73.3687,72.4316,73.2039,2850300
2017-03-23,72.8221,73.8026,72.8221,73.2559,3021100
2017-03-24,73.1518,73.7419,72.77,73.0477,2479100
2017-03-27,72.8047,73.2733,72.6659,73.0997,2340300
